,0
Qual x SF Plus Garage + Garage Finish x Garage Area,0.7460312868247757
Qual x SF Plus Garage,0.07622248279106261
Remodel Age,0.011902956424188137
Qual x SF,0.011398003321742133
Gr Liv Area,0.010172096172270276
Year Remod/Add,0.009325516062101373
Total Bsmt SF,0.008643721146288754
Total SF Plus Garage,0.008411037643175717
Garage Yr Blt,0.006026932544050537
House Age,0.006013693386671444
Total SF,0.006004421720258768
1st Flr SF,0.005867263977234406
Fireplace Qu_Ord,0.005531785813710252
Year Built,0.005402272436946841
Kitchen Qual_Ord,0.005202318735905226
Neighborhood__Crawfor,0.003977125448698209
Garage Finish x Garage Area x Garage Cars,0.003939221206773133
Garage Finish x Garage Area,0.003791678644860632
MS Zoning__RM,0.00371833449705964
MS SubClass,0.0035521837898918386
SaleMonth,0.003550545530025285
Garage Cars x Garage Area,0.003449380459012605
Bsmt Qual_Ord,0.0033949041533914044
Garage Area,0.003149291473356637
Heating QC_Ord,0.0026575235448458565
Total Baths,0.0025151140492620135
BsmtFin Type 1__GLQ,0.002443594998509946
MS Zoning__RL,0.002305652636949143
SaleYear,0.002159466801759874
BsmtFin Type 1__Unf,0.0020447963844435354
Functional_Ord,0.0016875881273465143
Lot Shape__Reg,0.0011567937368209746
Age Bucket_Ord,0.0011382254669794617
Overall Qual,0.0010626604234024427
Full Bath,0.0009839231659121161
SaleQuarter,0.0009732622919634039
Garage Type__Detchd,0.0009213101969828374
Garage Finish x Garage Cars,0.000829221240304192
Season Sold__Summer,0.000784315695360959
Neighborhood__Edwards,0.0007762775146037302
Roof Style__Hip,0.0007674976019745352
Exterior 1st__Wd Sdng,0.0007063634585481543
Neighborhood__ClearCr,0.0006770650604794861
Exter Qual_Ord,0.0006465710315493461
Garage Finish_Ord,0.0006345751982722825
Sale Type__WD ,0.000630035325396843
Lot Config__Inside,0.0006196369495950165
Neighborhood__CollgCr,0.0005870777102279367
Neighborhood__NAmes,0.0005713974062824771
BsmtFin Type 1__ALQ,0.0005703153289047219
Condition 1__Norm,0.0005649027121661902
Garage Type__Other,0.000499424399035944
Neighborhood__NoRidge,0.000465721965784157
Foundation__PConc,0.00046238283982957796
Season Sold__Spring,0.00045489142414337273
Foundation__CBlock,0.00041355720036793264
Neighborhood__Somerst,0.00040428002606933194
MS Zoning__Other,0.0003972452485361536
Lot Config__CulDSac,0.0003971065263467999
House Style__2Story,0.00039674412188838744
Exterior 2nd__VinylSd,0.00039517857188041676
Season Sold__Winter,0.00039152889471451416
Exterior 1st__VinylSd,0.00038392275054314177
Bldg Type__Duplex,0.00037659626603717095
Neighborhood__OldTown,0.00036738815765487425
Season Sold__Fall,0.0003578980823334908
Exterior 1st__MetalSd,0.00035672103674189994
Garage Cars,0.00035665322349965397
Sale Condition__Other,0.0003429189651637343
Exterior 2nd__Wd Sdng,0.0003151124855075553
BsmtFin Type 1__BLQ,0.0003087030572146307
Neighborhood__Gilbert,0.00030348827665761834
Sale Type__Other,0.00028521315570512504
Exterior 1st__HdBoard,0.0002822590263603418
Neighborhood__SawyerW,0.00028214003690626164
Lot Shape__IR2,0.0002735755834831999
Exterior 2nd__HdBoard,0.00026421884514162957
Neighborhood__NWAmes,0.0002471525673050526
Garage Type__BuiltIn,0.0002457534588688982
BsmtFin Type 1__Rec,0.00024447592884476246
Neighborhood__Other,0.00024376001409289507
Neighborhood__IDOTRR,0.00024143388285271454
Exterior 2nd__MetalSd,0.00023636532184430424
Bldg Type__TwnhsE,0.00023526817597082115
BsmtFin Type 1__LwQ,0.000227826158672302
Neighborhood__Timber,0.00022623042325396444
Neighborhood__NridgHt,0.00022432032378564765
Condition 1__Feedr,0.00020675432689633869
Neighborhood__BrkSide,0.00019374242468144355
Bldg Type__Twnhs,0.0001799191207831459
Neighborhood__Sawyer,0.0001728570650031249
Neighborhood__SWISU,0.00015808639547747444
Sale Type__New,0.00013483346729771306
Exterior 1st__WdShing,0.00012843431507340638
Sale Condition__Partial,0.00012514650919207007
Exterior 2nd__Wd Shng,0.00010643863050880807
Exterior 2nd__Stucco,9.909394021219425e-05
Exterior 1st__CemntBd,9.548681573559252e-05
Condition 1__PosN,8.906146111806275e-05
Exterior 2nd__CmentBd,8.540350551711621e-05
House Style__SFoyer,5.798648614179346e-05
Bldg Type__2fmCon,5.607193813113192e-05
Exterior 1st__Stucco,5.564504140089094e-05
Foundation__Slab,3.9202008650052397e-05
Neighborhood__MeadowV,1.4761862845808766e-05
